---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024329 seconds, query time 53.875081 seconds,
ID 186, src 12608, dst 2305, status Complete, result count 819128472, preprocessing time 0.017743 seconds, query time 11.685022 seconds,
ID 187, src 747, dst 11777, status Complete, result count 540910607, preprocessing time 0.018566 seconds, query time 12.746093 seconds,
ID 188, src 2023, dst 23, status Complete, result count 22301009828, preprocessing time 0.021786 seconds, query time 204.884502 seconds,
ID 189, src 1518, dst 1049, status Complete, result count 8993090401, preprocessing time 0.022525 seconds, query time 182.172750 seconds,
ID 190, src 10417, dst 4845, status Complete, result count 123656529, preprocessing time 0.016570 seconds, query time 2.625672 seconds,
ID 191, src 17789, dst 6381, status Complete, result count 294514079, preprocessing time 0.016530 seconds, query time 6.500804 seconds,
ID 192, src 14852, dst 8552, status Complete, result count 285810652, preprocessing time 0.018640 seconds, query time 6.398351 seconds,
ID 193, src 13788, dst 9172, status Complete, result count 171314833, preprocessing time 0.015551 seconds, query time 3.210629 seconds,
ID 194, src 4062, dst 6301, status Complete, result count 2094971494, preprocessing time 0.017964 seconds, query time 42.396085 seconds,
ID 195, src 5371, dst 456, status Complete, result count 12328743933, preprocessing time 0.020374 seconds, query time 143.345152 seconds,
ID 196, src 7993, dst 456, status Complete, result count 4898140640, preprocessing time 0.020679 seconds, query time 56.368194 seconds,
ID 197, src 2810, dst 1645, status Complete, result count 1070570859, preprocessing time 0.018644 seconds, query time 24.707315 seconds,
ID 198, src 4076, dst 7762, status Complete, result count 380961690, preprocessing time 0.017703 seconds, query time 9.062399 seconds,
ID 199, src 14532, dst 3279, status Complete, result count 32826903, preprocessing time 0.014333 seconds, query time 0.468138 seconds,
ID 200, src 30336, dst 24691, status Complete, result count 102732758, preprocessing time 0.013785 seconds, query time 2.317118 seconds,
ID 201, src 1890, dst 12007, status Complete, result count 1266283451, preprocessing time 0.017954 seconds, query time 29.433043 seconds,
ID 202, src 18513, dst 15634, status Complete, result count 13715068, preprocessing time 0.013783 seconds, query time 0.414285 seconds,
ID 203, src 4354, dst 691, status Complete, result count 3227785273, preprocessing time 0.017846 seconds, query time 62.677495 seconds,
ID 204, src 18350, dst 13909, status Complete, result count 327924535, preprocessing time 0.020179 seconds, query time 7.907092 seconds,
ID 205, src 4539, dst 5027, status Complete, result count 205486385, preprocessing time 0.018316 seconds, query time 4.799737 seconds,
ID 206, src 2899, dst 19997, status Complete, result count 229314614, preprocessing time 0.018339 seconds, query time 5.192781 seconds,
ID 207, src 1393, dst 5691, status Complete, result count 5660559786, preprocessing time 0.019705 seconds, query time 99.610993 seconds,
ID 208, src 10651, dst 1813, status Complete, result count 184829688, preprocessing time 0.017488 seconds, query time 3.659233 seconds,
ID 209, src 1635, dst 1473, status Complete, result count 4969210549, preprocessing time 0.018378 seconds, query time 102.922457 seconds,
ID 210, src 3080, dst 3884, status Complete, result count 49107793, preprocessing time 0.014265 seconds, query time 1.215619 seconds,
ID 211, src 60, dst 22628, status Complete, result count 914222528, preprocessing time 0.016655 seconds, query time 21.862835 seconds,
ID 212, src 10636, dst 14946, status Complete, result count 6449721, preprocessing time 0.011080 seconds, query time 0.176650 seconds,
ID 213, src 1404, dst 6020, status Complete, result count 446634531, preprocessing time 0.018744 seconds, query time 11.077883 seconds,
ID 214, src 965, dst 1280, status Complete, result count 13415471049, preprocessing time 0.018024 seconds, query time 183.063105 seconds,
ID 215, src 630, dst 6534, status Complete, result count 246520589, preprocessing time 0.016615 seconds, query time 7.064927 seconds,
ID 216, src 2750, dst 5363, status Complete, result count 14222344123, preprocessing time 0.019950 seconds, query time 248.152386 seconds,
ID 217, src 5144, dst 36524, status Complete, result count 52191694, preprocessing time 0.018575 seconds, query time 1.631665 seconds,
ID 218, src 17455, dst 7652, status Complete, result count 174101772, preprocessing time 0.014783 seconds, query time 3.708503 seconds,
ID 219, src 12608, dst 101, status Complete, result count 10275792387, preprocessing time 0.019885 seconds, query time 40.601250 seconds,
ID 220, src 7596, dst 6000, status Complete, result count 256135213, preprocessing time 0.020135 seconds, query time 6.248809 seconds,
ID 221, src 5909, dst 2956, status Complete, result count 5508534977, preprocessing time 0.023059 seconds, query time 39.667561 seconds,
ID 222, src 14729, dst 6, status Complete, result count 4893044760, preprocessing time 0.021552 seconds, query time 27.743554 seconds,
ID 223, src 29549, dst 14719, status Complete, result count 4909062, preprocessing time 0.013521 seconds, query time 0.199011 seconds,
ID 224, src 8438, dst 19123, status Complete, result count 7369173, preprocessing time 0.013268 seconds, query time 0.181513 seconds,
ID 225, src 310, dst 2970, status Complete, result count 12368282919, preprocessing time 0.017862 seconds, query time 259.681526 seconds,
ID 226, src 3019, dst 7313, status Complete, result count 49520179, preprocessing time 0.018189 seconds, query time 1.493236 seconds,
ID 227, src 16897, dst 24540, status Complete, result count 4987516, preprocessing time 0.014052 seconds, query time 0.201169 seconds,
ID 228, src 1898, dst 7185, status Complete, result count 574543923, preprocessing time 0.017466 seconds, query time 14.402140 seconds,
ID 229, src 8594, dst 19492, status Complete, result count 68639427, preprocessing time 0.014880 seconds, query time 1.506117 seconds,
ID 230, src 5966, dst 4004, status Complete, result count 1077593321, preprocessing time 0.017750 seconds, query time 24.035587 seconds,
ID 231, src 10414, dst 27756, status Complete, result count 92506895, preprocessing time 0.016338 seconds, query time 2.485732 seconds,
