---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 99, src 32754, dst 25668, status Complete, result count 557677, preprocessing time 0.008557 seconds, query time 0.026198 seconds,
ID 100, src 41643, dst 20432, status Complete, result count 35441, preprocessing time 0.006979 seconds, query time 0.008286 seconds,
ID 101, src 47878, dst 14014, status Complete, result count 2100066, preprocessing time 0.009581 seconds, query time 0.058106 seconds,
ID 102, src 75800, dst 75792, status Complete, result count 1, preprocessing time 0.000029 seconds, query time 0.000033 seconds,
ID 103, src 66515, dst 42595, status Complete, result count 1, preprocessing time 0.000002 seconds, query time 0.000004 seconds,
ID 104, src 61715, dst 17697, status Complete, result count 26757432, preprocessing time 0.012802 seconds, query time 0.656096 seconds,
ID 105, src 75882, dst 7747, status Complete, result count 21, preprocessing time 0.000390 seconds, query time 0.000400 seconds,
ID 106, src 16195, dst 10148, status Complete, result count 2103106, preprocessing time 0.009631 seconds, query time 0.085922 seconds,
ID 107, src 70515, dst 32682, status Complete, result count 10917, preprocessing time 0.003890 seconds, query time 0.004239 seconds,
ID 108, src 66424, dst 43257, status Complete, result count 585, preprocessing time 0.002228 seconds, query time 0.002269 seconds,
ID 109, src 36598, dst 25903, status Complete, result count 210776, preprocessing time 0.007387 seconds, query time 0.014746 seconds,
ID 110, src 10813, dst 74512, status Complete, result count 220613, preprocessing time 0.008608 seconds, query time 0.017468 seconds,
ID 111, src 2299, dst 12412, status Complete, result count 10188632, preprocessing time 0.009850 seconds, query time 0.273934 seconds,
ID 112, src 9781, dst 12845, status Complete, result count 14800407, preprocessing time 0.013217 seconds, query time 0.467088 seconds,
ID 113, src 57148, dst 10950, status Complete, result count 735637, preprocessing time 0.009291 seconds, query time 0.026439 seconds,
ID 114, src 27031, dst 56986, status Complete, result count 292278, preprocessing time 0.008867 seconds, query time 0.020283 seconds,
ID 115, src 63371, dst 16943, status Complete, result count 142325, preprocessing time 0.007322 seconds, query time 0.011578 seconds,
ID 116, src 31958, dst 44800, status Complete, result count 35782, preprocessing time 0.007422 seconds, query time 0.009193 seconds,
