---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 18932, dst 4332, status Complete, result count 69291917, preprocessing time 0.019562 seconds, query time 1.538442 seconds,
ID 225, src 52542, dst 3000, status Complete, result count 644253, preprocessing time 0.007478 seconds, query time 0.021936 seconds,
ID 226, src 61341, dst 10912, status Complete, result count 333534, preprocessing time 0.008825 seconds, query time 0.016597 seconds,
ID 227, src 51531, dst 3847, status Complete, result count 14665247, preprocessing time 0.012346 seconds, query time 0.440314 seconds,
ID 228, src 22977, dst 1811, status Complete, result count 47900532, preprocessing time 0.013887 seconds, query time 1.132233 seconds,
ID 229, src 12328, dst 2156, status Complete, result count 289280443, preprocessing time 0.014770 seconds, query time 4.344352 seconds,
ID 230, src 62708, dst 16033, status Complete, result count 90104, preprocessing time 0.008131 seconds, query time 0.011005 seconds,
ID 231, src 49056, dst 4908, status Complete, result count 197437, preprocessing time 0.006822 seconds, query time 0.010819 seconds,
ID 232, src 41979, dst 15213, status Complete, result count 361450, preprocessing time 0.009928 seconds, query time 0.019786 seconds,
ID 233, src 5591, dst 380, status Complete, result count 228562257, preprocessing time 0.012760 seconds, query time 4.031007 seconds,
ID 234, src 28525, dst 9124, status Complete, result count 24782521, preprocessing time 0.014611 seconds, query time 0.602154 seconds,
ID 235, src 32026, dst 11960, status Complete, result count 1419012, preprocessing time 0.011100 seconds, query time 0.051233 seconds,
