---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5011, dst 42727, status Complete, result count 15345153, preprocessing time 0.017236 seconds, query time 0.587753 seconds,
ID 119, src 8566, dst 25537, status Complete, result count 76635552, preprocessing time 0.018541 seconds, query time 2.608293 seconds,
ID 120, src 773, dst 67137, status Complete, result count 6234084, preprocessing time 0.015478 seconds, query time 0.286734 seconds,
ID 121, src 15607, dst 60450, status Complete, result count 102005, preprocessing time 0.008009 seconds, query time 0.013713 seconds,
ID 122, src 5189, dst 38906, status Complete, result count 2929970, preprocessing time 0.009761 seconds, query time 0.128116 seconds,
ID 123, src 37586, dst 1942, status Complete, result count 15178372, preprocessing time 0.012820 seconds, query time 0.430063 seconds,
ID 124, src 2552, dst 26035, status Complete, result count 47924437, preprocessing time 0.012948 seconds, query time 1.505993 seconds,
ID 125, src 1020, dst 48836, status Complete, result count 985572, preprocessing time 0.010605 seconds, query time 0.059824 seconds,
ID 126, src 11960, dst 12396, status Complete, result count 8804059, preprocessing time 0.012015 seconds, query time 0.233279 seconds,
ID 127, src 3897, dst 51300, status Complete, result count 5553918, preprocessing time 0.013329 seconds, query time 0.276715 seconds,
ID 128, src 9651, dst 29690, status Complete, result count 62318, preprocessing time 0.006862 seconds, query time 0.010746 seconds,
ID 129, src 19779, dst 71978, status Complete, result count 3348893, preprocessing time 0.009791 seconds, query time 0.131883 seconds,
ID 130, src 10432, dst 2661, status Complete, result count 36992294, preprocessing time 0.013178 seconds, query time 0.988851 seconds,
ID 131, src 6229, dst 67292, status Complete, result count 8650, preprocessing time 0.005140 seconds, query time 0.005674 seconds,
ID 132, src 5608, dst 19143, status Complete, result count 226015232, preprocessing time 0.016469 seconds, query time 5.877357 seconds,
ID 133, src 8532, dst 38088, status Complete, result count 14246535, preprocessing time 0.016288 seconds, query time 0.567774 seconds,
ID 134, src 12273, dst 59218, status Complete, result count 1433064, preprocessing time 0.011214 seconds, query time 0.068927 seconds,
ID 135, src 749, dst 39829, status Complete, result count 28538378, preprocessing time 0.013737 seconds, query time 1.189564 seconds,
ID 136, src 4947, dst 15239, status Complete, result count 275679458, preprocessing time 0.016951 seconds, query time 7.295108 seconds,
ID 137, src 23304, dst 27727, status Complete, result count 7549936, preprocessing time 0.011860 seconds, query time 0.252794 seconds,
ID 138, src 3030, dst 47241, status Complete, result count 5114109, preprocessing time 0.010924 seconds, query time 0.218713 seconds,
ID 139, src 14493, dst 62296, status Complete, result count 17721, preprocessing time 0.005457 seconds, query time 0.006573 seconds,
ID 140, src 24, dst 31373, status Complete, result count 365834481, preprocessing time 0.013269 seconds, query time 10.952156 seconds,
ID 141, src 7044, dst 49465, status Complete, result count 858436, preprocessing time 0.011928 seconds, query time 0.048471 seconds,
ID 142, src 15492, dst 43530, status Complete, result count 610759, preprocessing time 0.009897 seconds, query time 0.038335 seconds,
ID 143, src 1181, dst 60051, status Complete, result count 41803, preprocessing time 0.007089 seconds, query time 0.010268 seconds,
ID 144, src 6815, dst 27714, status Complete, result count 33719361, preprocessing time 0.013451 seconds, query time 1.059277 seconds,
ID 145, src 4533, dst 74263, status Complete, result count 90623639, preprocessing time 0.014677 seconds, query time 2.955618 seconds,
ID 146, src 4380, dst 10677, status Complete, result count 53857965, preprocessing time 0.012841 seconds, query time 1.275547 seconds,
ID 147, src 17576, dst 10822, status Complete, result count 6250208, preprocessing time 0.011764 seconds, query time 0.238289 seconds,
ID 148, src 3137, dst 6163, status Complete, result count 186482160, preprocessing time 0.013981 seconds, query time 4.571733 seconds,
ID 149, src 5791, dst 14945, status Complete, result count 465860466, preprocessing time 0.020248 seconds, query time 13.165794 seconds,
ID 150, src 2485, dst 25620, status Complete, result count 38020329, preprocessing time 0.013541 seconds, query time 1.423107 seconds,
ID 151, src 2211, dst 16931, status Complete, result count 20660703, preprocessing time 0.012641 seconds, query time 0.665923 seconds,
ID 152, src 5966, dst 32914, status Complete, result count 13412968, preprocessing time 0.013753 seconds, query time 0.572660 seconds,
ID 153, src 4018, dst 31501, status Complete, result count 8186174, preprocessing time 0.012144 seconds, query time 0.330238 seconds,
ID 154, src 689, dst 75062, status Complete, result count 56824471, preprocessing time 0.013948 seconds, query time 2.448188 seconds,
ID 155, src 228, dst 50986, status Complete, result count 31588141, preprocessing time 0.013320 seconds, query time 1.378309 seconds,
ID 156, src 16643, dst 7982, status Complete, result count 423759452, preprocessing time 0.017578 seconds, query time 9.343444 seconds,
ID 157, src 5426, dst 48787, status Complete, result count 643445, preprocessing time 0.010273 seconds, query time 0.042879 seconds,
ID 158, src 551, dst 53872, status Complete, result count 3175599, preprocessing time 0.011501 seconds, query time 0.165263 seconds,
ID 159, src 18502, dst 35810, status Complete, result count 5823541, preprocessing time 0.012142 seconds, query time 0.228842 seconds,
ID 160, src 7247, dst 41635, status Complete, result count 21051, preprocessing time 0.005369 seconds, query time 0.006575 seconds,
ID 161, src 5263, dst 6314, status Complete, result count 305483, preprocessing time 0.007881 seconds, query time 0.025593 seconds,
ID 162, src 20011, dst 21822, status Complete, result count 13840320, preprocessing time 0.011898 seconds, query time 0.495019 seconds,
ID 163, src 1846, dst 36472, status Complete, result count 251773177, preprocessing time 0.016751 seconds, query time 6.884130 seconds,
ID 164, src 19660, dst 36963, status Complete, result count 2827605, preprocessing time 0.011765 seconds, query time 0.112351 seconds,
ID 165, src 2490, dst 10569, status Complete, result count 1213851, preprocessing time 0.008981 seconds, query time 0.065027 seconds,
ID 166, src 6704, dst 21271, status Complete, result count 2095221, preprocessing time 0.011887 seconds, query time 0.101965 seconds,
ID 167, src 7246, dst 30600, status Complete, result count 4541712, preprocessing time 0.009992 seconds, query time 0.167566 seconds,
ID 168, src 7485, dst 48559, status Complete, result count 2292703, preprocessing time 0.011847 seconds, query time 0.107780 seconds,
ID 169, src 17704, dst 62874, status Complete, result count 59035, preprocessing time 0.007443 seconds, query time 0.010991 seconds,
ID 170, src 318, dst 20355, status Complete, result count 40304517, preprocessing time 0.013051 seconds, query time 1.626860 seconds,
ID 171, src 5919, dst 34866, status Complete, result count 12162949, preprocessing time 0.014807 seconds, query time 0.480083 seconds,
ID 172, src 5181, dst 3616, status Complete, result count 33633771, preprocessing time 0.012134 seconds, query time 1.085610 seconds,
ID 173, src 3679, dst 31178, status Complete, result count 3995725, preprocessing time 0.012479 seconds, query time 0.187044 seconds,
ID 174, src 21180, dst 45845, status Complete, result count 1441365, preprocessing time 0.011772 seconds, query time 0.079932 seconds,
ID 175, src 19280, dst 50396, status Complete, result count 813435, preprocessing time 0.009776 seconds, query time 0.046041 seconds,
ID 176, src 3161, dst 47241, status Complete, result count 1967448, preprocessing time 0.009508 seconds, query time 0.087844 seconds,
ID 177, src 19567, dst 42875, status Complete, result count 2169688, preprocessing time 0.011924 seconds, query time 0.101865 seconds,
ID 178, src 26417, dst 41089, status Complete, result count 265931, preprocessing time 0.008711 seconds, query time 0.020410 seconds,
ID 179, src 4023, dst 34337, status Complete, result count 32589699, preprocessing time 0.013262 seconds, query time 0.992825 seconds,
ID 180, src 1490, dst 37969, status Complete, result count 15985697, preprocessing time 0.016415 seconds, query time 0.624001 seconds,
ID 181, src 13577, dst 18409, status Complete, result count 22474689, preprocessing time 0.014514 seconds, query time 0.758491 seconds,
ID 182, src 18794, dst 13969, status Complete, result count 8394245, preprocessing time 0.012233 seconds, query time 0.271297 seconds,
ID 183, src 24027, dst 49649, status Complete, result count 76940, preprocessing time 0.007781 seconds, query time 0.011288 seconds,
ID 184, src 1666, dst 25390, status Complete, result count 58918348, preprocessing time 0.012668 seconds, query time 1.541750 seconds,
ID 185, src 1971, dst 21934, status Complete, result count 56406444, preprocessing time 0.013623 seconds, query time 1.769442 seconds,
ID 186, src 4830, dst 772, status Complete, result count 173883, preprocessing time 0.008785 seconds, query time 0.018050 seconds,
ID 187, src 5382, dst 48501, status Complete, result count 2386170, preprocessing time 0.010118 seconds, query time 0.112549 seconds,
ID 188, src 582, dst 61204, status Complete, result count 390135, preprocessing time 0.007927 seconds, query time 0.031152 seconds,
ID 189, src 2993, dst 20983, status Complete, result count 647365, preprocessing time 0.009253 seconds, query time 0.038350 seconds,
ID 190, src 34288, dst 38633, status Complete, result count 612352, preprocessing time 0.009335 seconds, query time 0.033161 seconds,
ID 191, src 9091, dst 24146, status Complete, result count 41175732, preprocessing time 0.014218 seconds, query time 1.397605 seconds,
ID 192, src 112, dst 58021, status Complete, result count 1477705, preprocessing time 0.012598 seconds, query time 0.096179 seconds,
ID 193, src 19674, dst 39433, status Complete, result count 415696, preprocessing time 0.008874 seconds, query time 0.023962 seconds,
ID 194, src 1015, dst 58203, status Complete, result count 1767238, preprocessing time 0.009261 seconds, query time 0.093389 seconds,
ID 195, src 10499, dst 43469, status Complete, result count 3096583, preprocessing time 0.012933 seconds, query time 0.153153 seconds,
ID 196, src 3172, dst 8308, status Complete, result count 24264478, preprocessing time 0.011260 seconds, query time 0.769006 seconds,
ID 197, src 9171, dst 20475, status Complete, result count 393229, preprocessing time 0.008794 seconds, query time 0.029335 seconds,
ID 198, src 6138, dst 67828, status Complete, result count 32303, preprocessing time 0.005627 seconds, query time 0.007607 seconds,
ID 199, src 17649, dst 20138, status Complete, result count 85189303, preprocessing time 0.013670 seconds, query time 2.230489 seconds,
ID 200, src 6035, dst 57665, status Complete, result count 163723, preprocessing time 0.010042 seconds, query time 0.018913 seconds,
ID 201, src 7714, dst 47178, status Complete, result count 5763277, preprocessing time 0.013315 seconds, query time 0.262180 seconds,
ID 202, src 3275, dst 39397, status Complete, result count 11843411, preprocessing time 0.011204 seconds, query time 0.485249 seconds,
ID 203, src 3580, dst 24630, status Complete, result count 356061322, preprocessing time 0.016882 seconds, query time 10.064888 seconds,
ID 204, src 6141, dst 28692, status Complete, result count 705265, preprocessing time 0.010455 seconds, query time 0.047203 seconds,
ID 205, src 17556, dst 72217, status Complete, result count 39602926, preprocessing time 0.014746 seconds, query time 1.000908 seconds,
ID 206, src 2982, dst 5077, status Complete, result count 349592110, preprocessing time 0.013276 seconds, query time 7.626347 seconds,
ID 207, src 4333, dst 56364, status Complete, result count 1061686, preprocessing time 0.010789 seconds, query time 0.067807 seconds,
ID 208, src 3652, dst 74261, status Complete, result count 198444675, preprocessing time 0.014407 seconds, query time 6.378344 seconds,
ID 209, src 2810, dst 40918, status Complete, result count 9956708, preprocessing time 0.015866 seconds, query time 0.443861 seconds,
ID 210, src 8966, dst 66761, status Complete, result count 12127, preprocessing time 0.004581 seconds, query time 0.005276 seconds,
ID 211, src 7075, dst 31190, status Complete, result count 33220493, preprocessing time 0.012977 seconds, query time 1.151836 seconds,
ID 212, src 18793, dst 8277, status Complete, result count 10274780, preprocessing time 0.012961 seconds, query time 0.324390 seconds,
ID 213, src 1908, dst 27772, status Complete, result count 52666307, preprocessing time 0.014159 seconds, query time 1.986995 seconds,
ID 214, src 6667, dst 24111, status Complete, result count 1341669, preprocessing time 0.014892 seconds, query time 0.074354 seconds,
ID 215, src 4974, dst 32394, status Complete, result count 29497501, preprocessing time 0.014333 seconds, query time 1.028332 seconds,
ID 216, src 2308, dst 63021, status Complete, result count 3807026, preprocessing time 0.014841 seconds, query time 0.191405 seconds,
ID 217, src 381, dst 58260, status Complete, result count 5727744, preprocessing time 0.010809 seconds, query time 0.280693 seconds,
ID 218, src 19739, dst 11991, status Complete, result count 1529907, preprocessing time 0.011137 seconds, query time 0.073524 seconds,
ID 219, src 7405, dst 47272, status Complete, result count 3284748, preprocessing time 0.012366 seconds, query time 0.158843 seconds,
ID 220, src 18277, dst 24618, status Complete, result count 8906991, preprocessing time 0.010947 seconds, query time 0.316531 seconds,
ID 221, src 996, dst 64623, status Complete, result count 10291949, preprocessing time 0.011688 seconds, query time 0.490529 seconds,
ID 222, src 14881, dst 26025, status Complete, result count 2270142, preprocessing time 0.010987 seconds, query time 0.095388 seconds,
ID 223, src 20804, dst 64173, status Complete, result count 188388, preprocessing time 0.009192 seconds, query time 0.017475 seconds,
ID 224, src 6159, dst 49024, status Complete, result count 283470, preprocessing time 0.008808 seconds, query time 0.024776 seconds,
ID 225, src 18505, dst 23132, status Complete, result count 3574624, preprocessing time 0.012338 seconds, query time 0.156853 seconds,
ID 226, src 7966, dst 10351, status Complete, result count 3030918, preprocessing time 0.011947 seconds, query time 0.131158 seconds,
ID 227, src 3023, dst 18554, status Complete, result count 2137938, preprocessing time 0.008592 seconds, query time 0.052824 seconds,
ID 228, src 172, dst 55571, status Complete, result count 601890, preprocessing time 0.008887 seconds, query time 0.042370 seconds,
ID 229, src 4391, dst 7623, status Complete, result count 26048564, preprocessing time 0.014401 seconds, query time 1.055445 seconds,
ID 230, src 2647, dst 30567, status Complete, result count 1904909, preprocessing time 0.014109 seconds, query time 0.100551 seconds,
ID 231, src 17073, dst 51497, status Complete, result count 336285, preprocessing time 0.009108 seconds, query time 0.022412 seconds,
ID 232, src 1554, dst 10868, status Complete, result count 194434671, preprocessing time 0.013641 seconds, query time 6.217769 seconds,
ID 233, src 7151, dst 68860, status Complete, result count 31801357, preprocessing time 0.014046 seconds, query time 1.038317 seconds,
ID 234, src 1651, dst 21289, status Complete, result count 4384531, preprocessing time 0.012778 seconds, query time 0.194203 seconds,
ID 235, src 4111, dst 41416, status Complete, result count 41875, preprocessing time 0.006250 seconds, query time 0.008724 seconds,
