---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024793 seconds, query time 60.622541 seconds,
ID 52, src 15708, dst 891, status Complete, result count 470691573, preprocessing time 0.017712 seconds, query time 10.828407 seconds,
ID 53, src 2535, dst 208, status Complete, result count 15441615442, preprocessing time 0.020366 seconds, query time 237.478931 seconds,
ID 54, src 2025, dst 15529, status Complete, result count 441706934, preprocessing time 0.018344 seconds, query time 10.917442 seconds,
ID 55, src 6330, dst 12644, status Complete, result count 22632279, preprocessing time 0.015261 seconds, query time 0.671545 seconds,
ID 56, src 51100, dst 978, status Complete, result count 10581346, preprocessing time 0.012334 seconds, query time 0.230084 seconds,
ID 57, src 2980, dst 14005, status Complete, result count 4497426430, preprocessing time 0.018807 seconds, query time 108.566463 seconds,
ID 58, src 13368, dst 3937, status Complete, result count 78937502, preprocessing time 0.016300 seconds, query time 1.864073 seconds,
ID 59, src 3064, dst 20842, status Complete, result count 631296344, preprocessing time 0.017497 seconds, query time 14.738433 seconds,
ID 60, src 4721, dst 10265, status Complete, result count 22513794, preprocessing time 0.015556 seconds, query time 0.876904 seconds,
ID 61, src 5354, dst 7565, status Complete, result count 401400026, preprocessing time 0.017304 seconds, query time 9.398757 seconds,
ID 62, src 15807, dst 3817, status Complete, result count 96204386, preprocessing time 0.016122 seconds, query time 2.663291 seconds,
ID 63, src 2083, dst 2417, status Complete, result count 44037312, preprocessing time 0.013548 seconds, query time 1.672001 seconds,
ID 64, src 5020, dst 46113, status Complete, result count 7012025, preprocessing time 0.013423 seconds, query time 0.261277 seconds,
ID 65, src 10436, dst 1604, status Complete, result count 1856593981, preprocessing time 0.017817 seconds, query time 33.287424 seconds,
ID 66, src 3885, dst 11600, status Complete, result count 821141870, preprocessing time 0.019046 seconds, query time 19.608948 seconds,
ID 67, src 5248, dst 46112, status Complete, result count 56200983, preprocessing time 0.018492 seconds, query time 2.006593 seconds,
ID 68, src 14108, dst 19236, status Complete, result count 109620830, preprocessing time 0.016326 seconds, query time 2.743619 seconds,
ID 69, src 3009, dst 19221, status Complete, result count 197660082, preprocessing time 0.014976 seconds, query time 5.053717 seconds,
ID 70, src 682, dst 7471, status Complete, result count 1069515858, preprocessing time 0.019792 seconds, query time 25.854921 seconds,
ID 71, src 3963, dst 21668, status Complete, result count 12575491, preprocessing time 0.016149 seconds, query time 0.481145 seconds,
ID 72, src 1232, dst 9845, status Complete, result count 11038325634, preprocessing time 0.019867 seconds, query time 129.184734 seconds,
ID 73, src 1280, dst 10432, status Complete, result count 136623035, preprocessing time 0.017388 seconds, query time 4.845217 seconds,
ID 74, src 2747, dst 8798, status Complete, result count 443052048, preprocessing time 0.018895 seconds, query time 8.349605 seconds,
ID 75, src 7095, dst 2804, status Complete, result count 7487936512, preprocessing time 0.019846 seconds, query time 99.516338 seconds,
ID 76, src 3173, dst 18003, status Complete, result count 429246848, preprocessing time 0.020162 seconds, query time 11.034770 seconds,
ID 77, src 6697, dst 5108, status Complete, result count 289113351, preprocessing time 0.015635 seconds, query time 6.673222 seconds,
ID 78, src 12244, dst 18205, status Complete, result count 78973868, preprocessing time 0.014753 seconds, query time 1.920621 seconds,
ID 79, src 1006, dst 3897, status Complete, result count 2122736725, preprocessing time 0.018987 seconds, query time 44.857074 seconds,
ID 80, src 21310, dst 5426, status Complete, result count 1289158241, preprocessing time 0.021826 seconds, query time 30.517578 seconds,
ID 81, src 18125, dst 3703, status Complete, result count 5070936650, preprocessing time 0.023058 seconds, query time 74.705684 seconds,
ID 82, src 22546, dst 926, status Complete, result count 1733797563, preprocessing time 0.020960 seconds, query time 25.445670 seconds,
ID 83, src 24188, dst 310, status Complete, result count 3204387998, preprocessing time 0.018433 seconds, query time 23.387158 seconds,
ID 84, src 2582, dst 11271, status Complete, result count 258284925, preprocessing time 0.019753 seconds, query time 6.324345 seconds,
ID 85, src 8020, dst 19324, status Complete, result count 54860145, preprocessing time 0.015739 seconds, query time 1.648610 seconds,
ID 86, src 3591, dst 1313, status Complete, result count 8316366183, preprocessing time 0.018835 seconds, query time 99.684745 seconds,
ID 87, src 6472, dst 6173, status Complete, result count 2268716731, preprocessing time 0.019173 seconds, query time 42.249415 seconds,
ID 88, src 6027, dst 12955, status Complete, result count 87156839, preprocessing time 0.016281 seconds, query time 2.299513 seconds,
ID 89, src 60380, dst 2810, status Complete, result count 1988686, preprocessing time 0.010272 seconds, query time 0.043146 seconds,
ID 90, src 2469, dst 5911, status Complete, result count 471640855, preprocessing time 0.014043 seconds, query time 9.264968 seconds,
ID 91, src 6417, dst 50956, status Complete, result count 812899, preprocessing time 0.010389 seconds, query time 0.030174 seconds,
ID 92, src 29, dst 32424, status Complete, result count 832631714, preprocessing time 0.017122 seconds, query time 23.621238 seconds,
